id,username,created,verified,followers,formal,sentiment,likes,RT,URL,class,,,,,
1,BBCWorld,Feb-07,TRUE,24300000,TRUE,0,160,118,1,3,,,,,
2,elonmusk,Jun-09,TRUE,24000000,FALSE,1,35000,2700,1,3,,,,,
3,Am_NickHills,Feb-09,FALSE,34,FALSE,-1,0,2,0,0,,,,,
4,smileefacee_x,Jun-16,FALSE,22,FALSE,-1,105,90,0,0,,,,,.
5,vishal_nare,May-16,FALSE,9,FALSE,-1,3,0,0,0,,,,,
6,MumbaiPolice,Dec-15,TRUE,4630000,TRUE,0,89,17,0,2,,,,,
7,narendramodi,Jan-09,TRUE,45000000,TRUE,1,10609,2328,0,2,,,,,
8,realDonaldTrump,Mar-09,TRUE,56900000,FALSE,-1,151570,30619,0,2,,,,,
9,fake_Obama_,Mar-16,FALSE,134,FALSE,0,8,31,0,0,,,,,
10,iamsrk,Jan-10,TRUE,37100000,FALSE,1,39725,5835,0,2,,,,,
11,FakeTrumpTweet,Aug-15,FALSE,3985,FALSE,0,1,1,0,0,,,,,
12,SamsungMobileIN,Jun-09,TRUE,1840000,TRUE,0,242,18,1,3,,,,,
13,SrBac0han,May-10,TRUE,35900000,FALSE,0,62602,6715,0,2,,,,,
14,TheFakeCNN,Apr-11,FALSE,91900,FALSE,-1,9,3,0,0,,,,,
15,theengineerbroo,Dec-15,FALSE,1118,FALSE,1,4,1,0,0,,,,,
16,timesofindia,Apr-10,TRUE,11500000,TRUE,0,110,12,1,3,,,,,
17,RelianceMobile,Feb-10,TRUE,2420000,TRUE,0,14,1,0,2,,,,,
18,fakeRaGa,Jun-16,FALSE,16,FALSE,0,0,0,0,0,,,,,
19,pant_ram,Sep-12,FALSE,133,FALSE,0,3,1,0,0,,,,,
20,TawdeVinod,Jul-13,TRUE,623000,TRUE,1,48,52,0,2,,,,,
21,ndtv,May-09,TRUE,11100000,TRUE,0,374,51,1,3,,,,,
22,MumbaiPolice,Dec-15,TRUE,4630000,TRUE,0,690,136,0,2,,,,,
23,MumbaiPolice,Dec-15,TRUE,4630000,TRUE,0,203,32,0,2,,,,,
24,MumbaiPolice,Dec-15,TRUE,4630000,TRUE,-1,527,168,0,2,,,,,
25,MumbaiPolice,Dec-15,TRUE,4630000,FALSE,1,12883,3706,1,2,,,,,
26,BarackObama,Mar-07,TRUE,104000000,TRUE,1,286298,56310,1,3,,,,,
27,TrumpFakeNews45,Aug-17,FALSE,87,FALSE,-1,0,0,0,0,,,,,
28,LAM1686,Jul-10,FALSE,63,FALSE,0,1,0,0,0,,,,,
29,riya043,Dec-11,FALSE,33300,TRUE,0,1,27,0,1,,,,,
30,bulfromphilly,Jan-11,FALSE,4264,TRUE,-1,1,1,0,0,,,,,
31,outsidemagazine,Dec-08,TRUE,333000,TRUE,-1,4,2,1,2,,,,,
32,WSJ,Apr-07,TRUE,16300000,TRUE,0,1577,1060,1,2,,,,,
